Ano;Trimestre;V4010;PNAD CONTÍNUA _COD(TÍTULO);avg_teleworkable;minimum_conditions;teleworkable_score
2018;1;5414;Guardas de segurança;0;0.6470588235294118;0
2018;1;5419;Trabalhadores dos serviços de proteção e segurança não classificados anteriormente;0.14285714285714285;0;0
2018;1;7112;Pedreiros;0;0.4838709677419355;0
2018;1;7113;Canteiros, cortadores e gravadores de pedras;0;0;0
2018;1;7114;Trabalhadores em cimento e concreto armado;0;0;0
2018;1;7115;Carpinteiros;0;1;0
2018;1;7123;Gesseiros;0;0;0
2018;1;7125;Vidraceiros;0;0;0
2018;1;7126;Bombeiros e encanadores;0;0;0
2018;1;7131;Pintores e empapeladores;0;0;0
2018;1;7132;Lustradores;0;0;0
2018;1;7212;Soldadores e oxicortadores;0;0;0
2018;1;7213;Chapistas e caldeireiros;0;0.7777777777777778;0
2018;1;7214;Montadores de estruturas metálicas;0;0;0
2018;1;7223;Reguladores e operadores de máquinas-ferramentas;0;0;0
2018;1;7231;Mecânicos e reparadores de veículos a motor;0;0.5;0
2018;1;7233;Mecânicos e reparadores de máquinas agrícolas e industriais;0;0.75;0
2018;1;7321;Trabalhadores da pré-impressão gráfica;1;0;0
2018;1;7322;Impressores;0;1;0
2018;1;7323;Encadernadores e afins;0;0;0
2018;1;7411;Eletricistas de obras e afins;0;0.6666666666666666;0
2018;1;7412;Mecânicos e ajustadores eletricistas;0;0.2857142857142857;0
2018;1;7413;Instaladores e reparadores de linhas elétricas;0;1;0
2018;1;7421;Mecânicos e reparadores em eletrônica;0;1;0
2018;1;7422;Instaladores e reparadores em tecnologias da informação e comunicações;0;0.75;0
2018;1;7511;Magarefes e afins;0;0.25;0
2018;1;7512;Padeiros, confeiteiros e afins;0;0.2222222222222222;0
2018;1;7522;Marceneiros e afins;0;1;0
2018;1;7531;Alfaiates, modistas, chapeleiros e peleteiros;0;0.8;0
2018;1;7533;Costureiros, bordadeiros e afins;0;0.25;0
2018;1;7534;Tapeceiros, colchoeiros e afins;0;1;0
2018;1;7543;Classificadores e provadores de produtos (exceto de bebidas e alimentos);0;1;0
2018;1;8121;Operadores de instalações de processamento de metais;0;0;0
2018;1;8132;Operadores de máquinas para fabricar produtos fotográficos;0;1;0
2018;1;8141;Operadores de máquinas para fabricar produtos de borracha;0;0.8;0
2018;1;8142;Operadores de máquinas para fabricar produtos de material plástico;0;0.6666666666666666;0
2018;1;8153;Operadores de máquinas de costura;0;0.21428571428571427;0
2018;1;8160;Operadores de máquinas para elaborar alimentos e produtos afins;0;1;0
2018;1;8211;Mecânicos montadores de maquinaria mecânica;0;0.5;0
2018;1;8212;Montadores de equipamentos elétricos e eletrônicos;0;0.5;0
2018;1;8219;Montadores não classificados anteriormente;0;0.6666666666666666;0
2018;1;8322;Condutores de automóveis, taxis e caminhonetes;0;0.6551724137931034;0
2018;1;8331;Condutores de ônibus e bondes;0;0.4;0
2018;1;8332;Condutores de caminhões pesados;0;0.25;0
2018;1;8343;Operadores de guindastes, gruas, aparatos de elevação e afins;0;0;0
2018;1;8344;Operadores de empilhadeiras;0;1;0
2018;1;9111;Trabalhadores dos serviços domésticos em geral;0;0.4375;0
2018;1;9112;Trabalhadores de limpeza de interior de edifícios, escritórios, hotéis e outros estabelecimentos;0;0.39285714285714285;0
2018;1;9313;Trabalhadores elementares da construção de edifícios;0;0.4444444444444444;0
2018;1;9329;Trabalhadores elementares da indústria de transformação não classificados anteriormente;0;0.5;0
2018;1;9333;Carregadores;0.25;0;0
2018;1;9411;Preparadores de comidas rápidas;0;0;0
2018;1;9412;Ajudantes de cozinha;0;0.8;0
2018;1;9621;Mensageiros, carregadores de bagagens e entregadores de encomendas;0;1;0
2018;1;9629;Outras ocupações elementares não classificadas anteriormente;0.25;0;0
2018;2;1211;Dirigentes financeiros;1;0.8;0.8
2018;2;1212;Dirigentes de recursos humanos;1;1;1
2018;2;1219;Dirigentes de administração e de serviços não classificados anteriormente;0.75;1;0.75
2018;2;1221;Dirigentes de vendas e  comercialização;1;1;1
2018;2;1223;Dirigentes de pesquisa e desenvolvimento;0.8;1;0.8
2018;2;1321;Dirigentes de indústria de transformação;0;0.5;0
2018;2;1341;Dirigentes de serviços de cuidados infantis;0;1;0
2018;2;1411;Gerentes de hotéis;0;1;0
2018;2;1412;Gerentes de restaurantes;0;0.5;0
2018;2;2114;Geólogos e geofísicos;1;1;1
2018;2;2141;Engenheiros industriais e de produção;0.5;1;0.5
2018;2;2142;Engenheiros civis;1;1;1
2018;2;2143;Engenheiros de meio ambiente;1;1;1
2018;2;2149;Engenheiros não classificados anteriormente;0.4375;1;0.4375
2018;2;2152;Engenheiros eletrônicos;1;1;1
2018;2;2161;Arquitetos de edificações;1;1;1
2018;2;2163;Desenhistas de produtos e  vestuário;1;1;1
