PNAD CONTÍNUA _ COD(CÓDIGO),PNAD CONTÍNUA _COD(TÍTULO),avg_teleworkable
4312,"Trabalhadores de serviços estatísticos, financeiros e de seguros",0.7142857142857143
4313,Trabalhadores encarregados de folha de pagamento,1
4321,Trabalhadores de controle de abastecimento e estoques,0.2
4322,Trabalhadores de serviços de apoio à produção,0
4323,Trabalhadores de serviços de transporte,1
4411,Trabalhadores de bibliotecas,0
4412,Trabalhadores de serviços de correios,0.5
4413,"Codificadores de dados, revisores de provas de impressão e afins",1
4414,Outros escreventes,0
4415,Trabalhadores de arquivos,1
4416,Trabalhadores do serviço de pessoal,1
4419,Trabalhadores de apoio administrativo não classificados anteriormente,1
5111,Auxiliares de serviço de bordo,0
5113,Guias de turismo,0
5120,Cozinheiros,0.25
5131,Garçons,0
5132,atendentes de bar,0
5141,Cabeleireiros,0
5142,Especialistas em tratamento de beleza e afins,0.25
5151,"Supervisores de manutenção e limpeza de edifícios em escritórios, hotéis e estabelecimentos",0
5153,Porteiros e zeladores,0
5163,Trabalhadores de funerárias e embalsamadores,0
5164,Cuidadores de animais,0
5169,Trabalhadores de serviços pessoais não classificados anteriormente,0.6666666666666666
5211,Vendedores de quiosques e postos de mercados,0
5222,Supervisores de lojas,0
5223,Balconistas e vendedores de lojas,0
5230,Caixas e expedidores de bilhetes,0
5241,"Modelos de moda, arte e publicidade",1
5242,Demonstradores de lojas,0
5244,Vendedores por telefone,1
5245,Frentistas de posto de gasolina,0
5246,Balconistas dos serviços de alimentação,0
5249,Vendedores não classificados anteriormente,0
5311,Cuidadores de crianças,1
5312,Ajudantes de professores,1
5321,Trabalhadores de cuidados pessoais em instituições,0
5322,Trabalhadores de cuidados pessoais a domicílios,0
5329,Trabalhadores de cuidados pessoais nos serviços de saúde não classificados anteriormente,0
5411,Bombeiros,0
5412,Policiais,0
5413,Guardiões de presídios,0
5414,Guardas de segurança,0
5419,Trabalhadores dos serviços de proteção e segurança não classificados anteriormente,0.14285714285714285
6111,"Agricultores e trabalhadores qualificados em atividades da agricultura (exclusive hortas, viveiros e jardins)",0.2
6121,Criadores de gado e trabalhadores qualificados da criação de gado,0
6210,Trabalhadores florestais qualificados e afins,0
6224,Caçadores,0
7112,Pedreiros,0
7113,"Canteiros, cortadores e gravadores de pedras",0
7114,Trabalhadores em cimento e concreto armado,0
7115,Carpinteiros,0
7119,Outros trabalhadores qualificados e operários da construção não classificados anteriormente,0.16666666666666666
7121,Telhadores,0
7122,"Aplicadores de revestimentos cerâmicos, pastilhas, pedras e madeiras",0
7123,Gesseiros,0
7124,Instaladores de material isolante térmico e acústico,0
7125,Vidraceiros,0
7126,Bombeiros e encanadores,0
7127,Mecânicos-instaladores de sistemas de refrigeração e climatização,0
7131,Pintores e empapeladores,0
