Distritos SP;Ano;trimestre;total_de_profissionais;avg_teleworkable_score;weighted_avg_teleworkable_score
JABAQUARA;2019;4;43124;0.32;0.403
JABAQUARA;2020;1;38341;0.275;0.353
JABAQUARA;2020;2;36074;0.327;0.415
JABAQUARA;2020;3;35692;0.357;0.415
JABAQUARA;2020;4;38676;0.338;0.406
JABAQUARA;2021;1;45834;0.254;0.395
JABAQUARA;2021;2;43715;0.295;0.43
JABAQUARA;2021;3;44016;0.328;0.476
JABAQUARA;2021;4;49277;0.334;0.444
JACANA;2018;1;15181;0.287;0.157
JACANA;2018;2;15221;0.293;0.199
JACANA;2018;3;13959;0.322;0.203
JACANA;2018;4;16138;0.302;0.175
JACANA;2019;1;15595;0.238;0.177
JACANA;2019;2;12079;0.282;0.207
JACANA;2019;3;14564;0.283;0.187
JACANA;2019;4;15136;0.278;0.225
JACANA;2020;1;15231;0.269;0.178
JACANA;2020;2;11979;0.305;0.21
JACANA;2020;3;14161;0.316;0.188
JACANA;2020;4;14807;0.302;0.225
JACANA;2021;1;15222;0.25;0.148
JACANA;2021;2;14670;0.299;0.196
JACANA;2021;3;12677;0.315;0.261
JACANA;2021;4;14623;0.332;0.213
JAGUARA;2018;1;14627;0.306;0.329
JAGUARA;2018;2;16204;0.328;0.406
JAGUARA;2018;3;14410;0.306;0.35
JAGUARA;2018;4;17989;0.32;0.277
JAGUARA;2019;1;15790;0.269;0.3
JAGUARA;2019;2;12531;0.292;0.406
JAGUARA;2019;3;15158;0.331;0.328
JAGUARA;2019;4;15886;0.32;0.36
JAGUARA;2020;1;15230;0.282;0.294
JAGUARA;2020;2;12040;0.299;0.414
JAGUARA;2020;3;14580;0.326;0.336
JAGUARA;2020;4;15228;0.289;0.349
JAGUARA;2021;1;16961;0.263;0.3
JAGUARA;2021;2;15922;0.295;0.347
JAGUARA;2021;3;15754;0.295;0.378
JAGUARA;2021;4;16410;0.34;0.366
JAGUARE;2018;1;24926;0.39;0.318
JAGUARE;2018;2;25429;0.417;0.397
JAGUARE;2018;3;24473;0.428;0.345
JAGUARE;2018;4;28156;0.403;0.321
JAGUARE;2019;1;38119;0.296;0.327
JAGUARE;2019;2;33287;0.35;0.369
JAGUARE;2019;3;36219;0.367;0.325
JAGUARE;2019;4;38164;0.362;0.372
JAGUARE;2020;1;39459;0.293;0.361
JAGUARE;2020;2;34266;0.354;0.41
JAGUARE;2020;3;37667;0.361;0.355
JAGUARE;2020;4;39490;0.344;0.398
JAGUARE;2021;1;49843;0.313;0.357
JAGUARE;2021;2;50456;0.364;0.379
JAGUARE;2021;3;47976;0.367;0.418
JAGUARE;2021;4;50880;0.376;0.381
JARAGUA;2018;1;7362;0.327;0.196
JARAGUA;2018;2;7908;0.305;0.259
JARAGUA;2018;3;7084;0.314;0.25
JARAGUA;2018;4;7673;0.305;0.2
JARAGUA;2019;1;7686;0.246;0.215
JARAGUA;2019;2;5270;0.311;0.315
JARAGUA;2019;3;7033;0.279;0.24
JARAGUA;2019;4;7078;0.297;0.281
JARAGUA;2020;1;7229;0.235;0.205
JARAGUA;2020;2;4960;0.304;0.302
JARAGUA;2020;3;6491;0.269;0.229
JARAGUA;2020;4;6776;0.286;0.265
JARAGUA;2021;1;8030;0.237;0.171
JARAGUA;2021;2;7222;0.284;0.219
JARAGUA;2021;3;7189;0.307;0.244
JARAGUA;2021;4;7210;0.306;0.238
JD ANGELA;2018;1;7035;0.304;0.286
JD ANGELA;2018;2;6102;0.285;0.308
JD ANGELA;2018;3;5491;0.327;0.353
JD ANGELA;2018;4;6891;0.32;0.33
JD ANGELA;2019;1;6495;0.249;0.325
JD ANGELA;2019;2;5963;0.312;0.304
JD ANGELA;2019;3;6070;0.305;0.347
JD ANGELA;2019;4;6543;0.322;0.378
JD ANGELA;2020;1;7837;0.237;0.255
JD ANGELA;2020;2;6081;0.305;0.298
JD ANGELA;2020;3;7003;0.289;0.287
JD ANGELA;2020;4;7454;0.286;0.31
JD ANGELA;2021;1;6561;0.274;0.241
JD ANGELA;2021;2;5978;0.289;0.329
JD ANGELA;2021;3;6213;0.312;0.366
JD ANGELA;2021;4;6245;0.33;0.347
JD HELENA;2018;1;6415;0.348;0.234
JD HELENA;2018;2;6428;0.356;0.268
JD HELENA;2018;3;5853;0.354;0.268
JD HELENA;2018;4;6800;0.356;0.252
JD HELENA;2019;1;6021;0.285;0.29
JD HELENA;2019;2;4944;0.33;0.324
JD HELENA;2019;3;5746;0.345;0.294
JD HELENA;2019;4;6043;0.352;0.358
JD HELENA;2020;1;6073;0.291;0.245
JD HELENA;2020;2;4621;0.343;0.306
JD HELENA;2020;3;5766;0.352;0.251
JD HELENA;2020;4;5949;0.355;0.3
JD HELENA;2021;1;6484;0.269;0.157
JD HELENA;2021;2;6144;0.292;0.219
JD HELENA;2021;3;6121;0.311;0.26
JD HELENA;2021;4;5869;0.356;0.246
JD PAULISTA;2018;1;60421;0.426;0.356
JD PAULISTA;2018;2;68118;0.422;0.414
JD PAULISTA;2018;3;56543;0.408;0.392
JD PAULISTA;2018;4;66799;0.417;0.345
JD PAULISTA;2019;1;70966;0.346;0.393
JD PAULISTA;2019;2;69865;0.417;0.4
JD PAULISTA;2019;3;66986;0.418;0.419
JD PAULISTA;2019;4;76397;0.39;0.471
JD PAULISTA;2020;1;67937;0.336;0.41
JD PAULISTA;2020;2;66781;0.394;0.416
JD PAULISTA;2020;3;65325;0.4;0.428
JD PAULISTA;2020;4;73007;0.388;0.478
JD PAULISTA;2021;1;70246;0.351;0.414
JD PAULISTA;2021;2;72911;0.392;0.435
JD PAULISTA;2021;3;61238;0.425;0.566
JD PAULISTA;2021;4;75726;0.438;0.47
LAJEADO;2018;1;21632;0.34;0.281
LAJEADO;2018;2;22453;0.338;0.315
LAJEADO;2018;3;19491;0.35;0.325
LAJEADO;2018;4;21600;0.33;0.297
LAJEADO;2019;1;20692;0.298;0.338
LAJEADO;2019;2;21130;0.336;0.337
LAJEADO;2019;3;20466;0.385;0.345
LAJEADO;2019;4;22009;0.363;0.394
LAJEADO;2020;1;21764;0.275;0.323
LAJEADO;2020;2;22577;0.347;0.313
LAJEADO;2020;3;21551;0.366;0.322
LAJEADO;2020;4;23343;0.354;0.376
LAJEADO;2021;1;25843;0.298;0.388
LAJEADO;2021;2;25842;0.337;0.414
LAJEADO;2021;3;17223;0.37;0.659
LAJEADO;2021;4;25838;0.372;0.414
LAPA;2018;1;67505;0.319;0.279
LAPA;2018;2;72916;0.346;0.35
LAPA;2018;3;65717;0.329;0.332
LAPA;2018;4;76200;0.351;0.279
LAPA;2019;1;69100;0.283;0.278
LAPA;2019;2;51033;0.332;0.378
LAPA;2019;3;63863;0.322;0.305
LAPA;2019;4;68853;0.333;0.354
LAPA;2020;1;72636;0.285;0.263
LAPA;2020;2;51957;0.329;0.37
LAPA;2020;3;66777;0.343;0.292
LAPA;2020;4;72176;0.333;0.34
LAPA;2021;1;72025;0.294;0.289
LAPA;2021;2;74443;0.327;0.325
LAPA;2021;3;69992;0.336;0.378
LAPA;2021;4;73195;0.371;0.353
LIBERDADE;2018;1;33574;0.311;0.488
LIBERDADE;2018;2;37411;0.318;0.51
LIBERDADE;2018;3;30662;0.315;0.503
LIBERDADE;2018;4;33678;0.315;0.452
LIBERDADE;2019;1;29546;0.292;0.503
LIBERDADE;2019;2;30295;0.338;0.5
LIBERDADE;2019;3;29232;0.351;0.525
LIBERDADE;2019;4;29538;0.378;0.551
LIBERDADE;2020;1;26436;0.285;0.476
LIBERDADE;2020;2;27427;0.342;0.464
LIBERDADE;2020;3;26256;0.362;0.494
LIBERDADE;2020;4;26730;0.353;0.529
LIBERDADE;2021;1;26420;0.327;0.392
LIBERDADE;2021;2;26318;0.365;0.421
LIBERDADE;2021;3;19715;0.402;0.604
LIBERDADE;2021;4;24940;0.359;0.456
LIMAO;2018;1;13343;0.319;0.221
LIMAO;2018;2;14546;0.331;0.3
LIMAO;2018;3;12898;0.337;0.272
LIMAO;2018;4;14626;0.336;0.228
LIMAO;2019;1;13609;0.293;0.234
LIMAO;2019;2;10524;0.319;0.289
LIMAO;2019;3;12720;0.332;0.237
LIMAO;2019;4;13282;0.338;0.286
LIMAO;2020;1;12103;0.285;0.24
LIMAO;2020;2;9807;0.334;0.282
LIMAO;2020;3;11588;0.342;0.236
LIMAO;2020;4;12091;0.321;0.28
LIMAO;2021;1;14939;0.28;0.225
LIMAO;2021;2;16283;0.317;0.265
LIMAO;2021;3;15781;0.319;0.29
LIMAO;2021;4;14034;0.35;0.328
MANDAQUI;2018;1;14409;0.33;0.32
MANDAQUI;2018;2;16256;0.339;0.387
MANDAQUI;2018;3;12934;0.369;0.397
MANDAQUI;2018;4;15102;0.355;0.335
MANDAQUI;2019;1;12933;0.314;0.368
MANDAQUI;2019;2;13612;0.348;0.354
MANDAQUI;2019;3;12541;0.354;0.362
MANDAQUI;2019;4;13462;0.373;0.445
MANDAQUI;2020;1;11919;0.314;0.372
MANDAQUI;2020;2;13039;0.349;0.344
MANDAQUI;2020;3;11587;0.349;0.363
MANDAQUI;2020;4;12373;0.367;0.441
MANDAQUI;2021;1;15860;0.327;0.279
MANDAQUI;2021;2;14642;0.346;0.331
MANDAQUI;2021;3;10470;0.382;0.512
MANDAQUI;2021;4;14383;0.378;0.367
MARSILAC;2018;1;2925;0.278;0.206
MARSILAC;2018;2;3069;0.334;0.252
MARSILAC;2018;3;2910;0.338;0.248
MARSILAC;2018;4;3278;0.289;0.209
MARSILAC;2019;1;3274;0.273;0.182
MARSILAC;2019;2;2316;0.327;0.259
MARSILAC;2019;3;2846;0.339;0.214
MARSILAC;2019;4;3221;0.324;0.256
MARSILAC;2020;1;3133;0.267;0.182
MARSILAC;2020;2;2202;0.319;0.268
MARSILAC;2020;3;2725;0.336;0.214
MARSILAC;2020;4;3068;0.332;0.249
MARSILAC;2021;1;3403;0.259;0.202
MARSILAC;2021;2;3335;0.266;0.266
MARSILAC;2021;3;3379;0.314;0.287
MARSILAC;2021;4;3399;0.311;0.282
MOEMA;2018;1;50412;0.406;0.303
MOEMA;2018;2;53695;0.406;0.349
MOEMA;2018;3;45508;0.427;0.387
MOEMA;2018;4;48477;0.411;0.327
MOEMA;2019;1;47370;0.335;0.336
MOEMA;2019;2;47377;0.409;0.344
MOEMA;2019;3;45689;0.396;0.359
MOEMA;2019;4;48290;0.395;0.4
MOEMA;2020;1;46828;0.342;0.333
MOEMA;2020;2;47404;0.39;0.337
MOEMA;2020;3;45182;0.4;0.354
MOEMA;2020;4;47596;0.4;0.393
MOEMA;2021;1;53013;0.28;0.293
MOEMA;2021;2;48373;0.317;0.327
MOEMA;2021;3;40222;0.351;0.472
MOEMA;2021;4;56017;0.348;0.387
MOOCA;2018;1;33019;0.379;0.218
MOOCA;2018;2;36205;0.396;0.267
MOOCA;2018;3;31091;0.407;0.255
MOOCA;2018;4;36661;0.399;0.214
MOOCA;2019;1;32876;0.334;0.241
MOOCA;2019;2;26845;0.414;0.274
MOOCA;2019;3;30436;0.394;0.253
MOOCA;2019;4;33218;0.402;0.295
MOOCA;2020;1;35249;0.313;0.226
MOOCA;2020;2;28130;0.396;0.26
MOOCA;2020;3;32629;0.386;0.237
MOOCA;2020;4;35427;0.376;0.279
MOOCA;2021;1;39593;0.361;0.217
MOOCA;2021;2;39387;0.368;0.251
MOOCA;2021;3;29611;0.411;0.357
MOOCA;2021;4;36470;0.431;0.275
MORUMBI;2018;1;37416;0.348;0.215
MORUMBI;2018;2;45666;0.359;0.241
MORUMBI;2018;3;35456;0.357;0.276
MORUMBI;2018;4;40446;0.355;0.238
MORUMBI;2019;1;39765;0.292;0.225
MORUMBI;2019;2;38801;0.346;0.22
MORUMBI;2019;3;39733;0.325;0.259
MORUMBI;2019;4;39685;0.347;0.303
MORUMBI;2020;1;42321;0.292;0.224
MORUMBI;2020;2;42121;0.338;0.214
MORUMBI;2020;3;42323;0.341;0.252
MORUMBI;2020;4;43081;0.338;0.289
MORUMBI;2021;1;47691;0.264;0.206
MORUMBI;2021;2;49025;0.298;0.229
MORUMBI;2021;3;27446;0.33;0.461
MORUMBI;2021;4;44810;0.343;0.276
N CACHOEIRI;2018;1;7122;0.316;0.315
N CACHOEIRI;2018;2;7299;0.346;0.392
N CACHOEIRI;2018;3;6073;0.348;0.421
N CACHOEIRI;2018;4;7048;0.324;0.35
N CACHOEIRI;2019;1;6756;0.257;0.363
N CACHOEIRI;2019;2;6733;0.33;0.36
N CACHOEIRI;2019;3;6551;0.307;0.371
N CACHOEIRI;2019;4;7243;0.331;0.474
N CACHOEIRI;2020;1;6941;0.256;0.319
N CACHOEIRI;2020;2;6434;0.326;0.341
N CACHOEIRI;2020;3;6566;0.299;0.326
N CACHOEIRI;2020;4;7174;0.325;0.422
N CACHOEIRI;2021;1;8101;0.331;0.304
N CACHOEIRI;2021;2;7381;0.343;0.362
N CACHOEIRI;2021;3;7412;0.376;0.433
N CACHOEIRI;2021;4;7684;0.403;0.4
OUTROS SP;2018;1;5016;0.37;0.257
OUTROS SP;2018;2;5148;0.39;0.293
OUTROS SP;2018;3;4714;0.34;0.316
OUTROS SP;2018;4;5647;0.345;0.269
OUTROS SP;2019;1;1795;0.269;0.252
OUTROS SP;2019;2;1085;0.315;0.413
OUTROS SP;2019;3;1728;0.271;0.257
OUTROS SP;2019;4;1804;0.32;0.28
OUTROS SP;2020;1;1621;0.295;0.217
OUTROS SP;2020;2;990;0.307;0.331
OUTROS SP;2020;3;1473;0.331;0.228
OUTROS SP;2020;4;1557;0.348;0.26
OUTROS SP;2021;1;996;0.183;0.136
OUTROS SP;2021;2;940;0.314;0.19
OUTROS SP;2021;3;1080;0.286;0.204
OUTROS SP;2021;4;1044;0.279;0.254
PARELHEIROS;2018;1;3788;0.304;0.238
PARELHEIROS;2018;2;3718;0.321;0.253
PARELHEIROS;2018;3;3133;0.335;0.286
PARELHEIROS;2018;4;3785;0.339;0.269
PARELHEIROS;2019;1;3579;0.264;0.236
PARELHEIROS;2019;2;2943;0.327;0.253
PARELHEIROS;2019;3;3228;0.292;0.261
PARELHEIROS;2019;4;3518;0.356;0.286
PARELHEIROS;2020;1;6684;0.258;0.152
PARELHEIROS;2020;2;6793;0.328;0.134
PARELHEIROS;2020;3;6555;0.289;0.15
PARELHEIROS;2020;4;6797;0.366;0.197
PARELHEIROS;2021;1;7422;0.266;0.142
PARELHEIROS;2021;2;7186;0.311;0.174
PARELHEIROS;2021;3;3564;0.356;0.392
PARELHEIROS;2021;4;6709;0.354;0.191
PARI;2018;1;14524;0.311;0.205
PARI;2018;2;13997;0.319;0.263
PARI;2018;3;14250;0.314;0.281
PARI;2018;4;16187;0.29;0.231
PARI;2019;1;16251;0.237;0.225
PARI;2019;2;10247;0.335;0.356
PARI;2019;3;15154;0.312;0.245
PARI;2019;4;15607;0.32;0.278
PARI;2020;1;16629;0.268;0.224
PARI;2020;2;10208;0.376;0.359
PARI;2020;3;15421;0.353;0.24
PARI;2020;4;15867;0.351;0.272
PARI;2021;1;15514;0.321;0.166
PARI;2021;2;14654;0.329;0.223
PARI;2021;3;16277;0.352;0.255
PARI;2021;4;15878;0.377;0.278
PEDREIRA;2018;1;9154;0.316;0.184
PEDREIRA;2018;2;9186;0.312;0.302
PEDREIRA;2018;3;9279;0.333;0.307
PEDREIRA;2018;4;9336;0.353;0.26
PEDREIRA;2019;1;10689;0.258;0.162
PEDREIRA;2019;2;7366;0.244;0.209
PEDREIRA;2019;3;10045;0.287;0.281
PEDREIRA;2019;4;11109;0.332;0.321
PEDREIRA;2020;1;5194;0.287;0.201
PEDREIRA;2020;2;3924;0.281;0.266
PEDREIRA;2020;3;4335;0.313;0.246
PEDREIRA;2020;4;5286;0.36;0.247
PEDREIRA;2021;1;5601;0.291;0.198
PEDREIRA;2021;2;5553;0.318;0.246
PEDREIRA;2021;3;5040;0.304;0.297
PEDREIRA;2021;4;5110;0.395;0.312
PENHA;2018;1;20275;0.314;0.238
PENHA;2018;2;20298;0.331;0.296
PENHA;2018;3;17995;0.335;0.326
PENHA;2018;4;20925;0.335;0.268
PENHA;2019;1;20202;0.259;0.261
PENHA;2019;2;15921;0.331;0.328
PENHA;2019;3;18395;0.314;0.284
PENHA;2019;4;19426;0.334;0.34
PENHA;2020;1;19632;0.256;0.246
PENHA;2020;2;15290;0.327;0.312
PENHA;2020;3;17446;0.309;0.274
PENHA;2020;4;18116;0.332;0.33
PENHA;2021;1;19067;0.299;0.237
PENHA;2021;2;17740;0.319;0.286
PENHA;2021;3;18423;0.352;0.335
PENHA;2021;4;18671;0.361;0.329
PERDIZES;2018;1;24724;0.32;0.307
PERDIZES;2018;2;26315;0.331;0.345
PERDIZES;2018;3;21990;0.323;0.389
PERDIZES;2018;4;26616;0.32;0.33
PERDIZES;2019;1;22937;0.264;0.355
PERDIZES;2019;2;23731;0.357;0.33
PERDIZES;2019;3;21700;0.341;0.358
PERDIZES;2019;4;23487;0.331;0.414
PERDIZES;2020;1;20273;0.261;0.376
PERDIZES;2020;2;21215;0.35;0.346
PERDIZES;2020;3;19259;0.322;0.376
PERDIZES;2020;4;20661;0.348;0.433
PERDIZES;2021;1;22509;0.286;0.309
PERDIZES;2021;2;22028;0.308;0.351
PERDIZES;2021;3;18655;0.35;0.465
PERDIZES;2021;4;22071;0.359;0.412
PERUS;2018;1;3600;0.298;0.253
PERUS;2018;2;3599;0.304;0.283
PERUS;2018;3;3015;0.335;0.37
PERUS;2018;4;3378;0.286;0.332
PERUS;2019;1;3036;0.219;0.317
PERUS;2019;2;3090;0.311;0.309
PERUS;2019;3;2742;0.25;0.334
PERUS;2019;4;3167;0.25;0.359
PERUS;2020;1;2702;0.231;0.331
PERUS;2020;2;2788;0.266;0.315
PERUS;2020;3;2597;0.233;0.329
PERUS;2020;4;2898;0.282;0.368
PERUS;2021;1;3168;0.219;0.229
PERUS;2021;2;2749;0.271;0.302
PERUS;2021;3;2840;0.275;0.359
PERUS;2021;4;2914;0.269;0.362
PINHEIROS;2018;1;62328;0.353;0.478
PINHEIROS;2018;2;62657;0.359;0.557
PINHEIROS;2018;3;59222;0.351;0.525
PINHEIROS;2018;4;66439;0.364;0.498
PINHEIROS;2019;1;73151;0.289;0.5
PINHEIROS;2019;2;68332;0.339;0.531
PINHEIROS;2019;3;67809;0.338;0.544
PINHEIROS;2019;4;75278;0.358;0.57
PINHEIROS;2020;1;74631;0.29;0.513
PINHEIROS;2020;2;71139;0.339;0.53
PINHEIROS;2020;3;69293;0.35;0.561
PINHEIROS;2020;4;76518;0.357;0.578
PINHEIROS;2021;1;82864;0.294;0.562
PINHEIROS;2021;2;87666;0.338;0.595
PINHEIROS;2021;3;84222;0.364;0.627
PINHEIROS;2021;4;93284;0.356;0.6
PIRITUBA;2018;1;29283;0.349;0.32
PIRITUBA;2018;2;29286;0.352;0.38
PIRITUBA;2018;3;27676;0.372;0.394
PIRITUBA;2018;4;29313;0.372;0.347
PIRITUBA;2019;1;28629;0.289;0.461
PIRITUBA;2019;2;27094;0.377;0.489
PIRITUBA;2019;3;27002;0.367;0.481
PIRITUBA;2019;4;28809;0.36;0.543
PIRITUBA;2020;1;27018;0.304;0.466
PIRITUBA;2020;2;25722;0.356;0.497
PIRITUBA;2020;3;25840;0.366;0.481
PIRITUBA;2020;4;27109;0.356;0.54
PIRITUBA;2021;1;30784;0.313;0.369
PIRITUBA;2021;2;27901;0.35;0.468
PIRITUBA;2021;3;28679;0.366;0.501
PIRITUBA;2021;4;33738;0.378;0.45
PRQ CARMO;2018;1;11301;0.322;0.186
PRQ CARMO;2018;2;12810;0.321;0.233
PRQ CARMO;2018;3;10600;0.302;0.215
PRQ CARMO;2018;4;12982;0.33;0.18
PRQ CARMO;2019;1;12705;0.273;0.176
PRQ CARMO;2019;2;10737;0.287;0.198
PRQ CARMO;2019;3;10882;0.319;0.203
PRQ CARMO;2019;4;11609;0.316;0.26
PRQ CARMO;2020;1;30624;0.273;0.159
PRQ CARMO;2020;2;21938;0.284;0.196
PRQ CARMO;2020;3;28893;0.327;0.268
PRQ CARMO;2020;4;31097;0.331;0.341
PRQ CARMO;2021;1;32507;0.266;0.195
PRQ CARMO;2021;2;36315;0.312;0.209
PRQ CARMO;2021;3;27154;0.334;0.392
PRQ CARMO;2021;4;33820;0.346;0.292
PTE RASA;2018;1;7152;0.321;0.345
PTE RASA;2018;2;7401;0.315;0.426
PTE RASA;2018;3;6583;0.319;0.425
PTE RASA;2018;4;7345;0.327;0.379
PTE RASA;2019;1;5861;0.248;0.332
PTE RASA;2019;2;4903;0.315;0.404
PTE RASA;2019;3;5430;0.331;0.365
PTE RASA;2019;4;5702;0.315;0.397
PTE RASA;2020;1;5243;0.253;0.251
PTE RASA;2020;2;4240;0.317;0.307
PTE RASA;2020;3;4767;0.335;0.284
PTE RASA;2020;4;5043;0.321;0.316
PTE RASA;2021;1;13724;0.294;0.169
PTE RASA;2021;2;13047;0.349;0.213
PTE RASA;2021;3;13023;0.365;0.232
PTE RASA;2021;4;13134;0.379;0.226
R PEQUENO;2018;1;22247;0.326;0.338
R PEQUENO;2018;2;24238;0.329;0.434
R PEQUENO;2018;3;21007;0.343;0.394
R PEQUENO;2018;4;25384;0.339;0.319
R PEQUENO;2019;1;23584;0.285;0.351
R PEQUENO;2019;2;19314;0.326;0.448
R PEQUENO;2019;3;22384;0.323;0.366
R PEQUENO;2019;4;25172;0.363;0.46
R PEQUENO;2020;1;25162;0.272;0.261
R PEQUENO;2020;2;18189;0.31;0.39
R PEQUENO;2020;3;23436;0.313;0.284
R PEQUENO;2020;4;24500;0.35;0.33
R PEQUENO;2021;1;19223;0.297;0.318
R PEQUENO;2021;2;18691;0.309;0.356
R PEQUENO;2021;3;18495;0.331;0.43
R PEQUENO;2021;4;19747;0.359;0.426
R TAVARES;2018;1;9007;0.332;0.194
R TAVARES;2018;2;9164;0.35;0.238
R TAVARES;2018;3;8311;0.324;0.245
R TAVARES;2018;4;9383;0.327;0.203
R TAVARES;2019;1;8937;0.263;0.235
R TAVARES;2019;2;6729;0.351;0.312
R TAVARES;2019;3;7930;0.328;0.262
R TAVARES;2019;4;8653;0.336;0.287
R TAVARES;2020;1;9216;0.253;0.225
R TAVARES;2020;2;6661;0.33;0.312
R TAVARES;2020;3;7995;0.303;0.258
R TAVARES;2020;4;8829;0.304;0.274
R TAVARES;2021;1;10737;0.281;0.173
R TAVARES;2021;2;9685;0.321;0.226
R TAVARES;2021;3;9630;0.325;0.247
R TAVARES;2021;4;10176;0.375;0.271
REPUBLICA;2018;1;62388;0.337;0.418
REPUBLICA;2018;2;60714;0.371;0.511
REPUBLICA;2018;3;58569;0.353;0.434
REPUBLICA;2018;4;70410;0.352;0.41
REPUBLICA;2019;1;64448;0.303;0.407
REPUBLICA;2019;2;60152;0.324;0.449
REPUBLICA;2019;3;59935;0.34;0.411
REPUBLICA;2019;4;67846;0.355;0.48
REPUBLICA;2020;1;59964;0.305;0.393
REPUBLICA;2020;2;53493;0.316;0.446
REPUBLICA;2020;3;55576;0.346;0.397
REPUBLICA;2020;4;61992;0.349;0.468
REPUBLICA;2021;1;52568;0.373;0.381
REPUBLICA;2021;2;55052;0.389;0.42
REPUBLICA;2021;3;53859;0.423;0.463
REPUBLICA;2021;4;56056;0.42;0.451
S AMARO;2018;1;75619;0.319;0.443
S AMARO;2018;2;77895;0.321;0.502
S AMARO;2018;3;72811;0.313;0.499
S AMARO;2018;4;78940;0.331;0.453
S AMARO;2019;1;88845;0.279;0.478
S AMARO;2019;2;80044;0.313;0.541
S AMARO;2019;3;83886;0.313;0.503
S AMARO;2019;4;90829;0.325;0.497
S AMARO;2020;1;94707;0.278;0.447
S AMARO;2020;2;79200;0.322;0.538
S AMARO;2020;3;88564;0.323;0.476
S AMARO;2020;4;95831;0.319;0.473
S AMARO;2021;1;83276;0.297;0.436
S AMARO;2021;2;87129;0.324;0.463
S AMARO;2021;3;77610;0.361;0.518
S AMARO;2021;4;86145;0.364;0.486
S CECILIA;2018;1;35704;0.34;0.391
S CECILIA;2018;2;38035;0.35;0.46
S CECILIA;2018;3;34159;0.344;0.436
S CECILIA;2018;4;39662;0.35;0.408
S CECILIA;2019;1;33379;0.293;0.402
S CECILIA;2019;2;30439;0.355;0.407
S CECILIA;2019;3;32241;0.339;0.413
S CECILIA;2019;4;35025;0.369;0.456
S CECILIA;2020;1;31481;0.294;0.422
S CECILIA;2020;2;28238;0.359;0.431
S CECILIA;2020;3;30779;0.344;0.428
S CECILIA;2020;4;33296;0.364;0.465
S CECILIA;2021;1;31458;0.335;0.416
S CECILIA;2021;2;34398;0.356;0.448
S CECILIA;2021;3;30095;0.394;0.543
S CECILIA;2021;4;31407;0.395;0.473
S DOMINGOS;2018;1;45605;0.332;0.443
S DOMINGOS;2018;2;47422;0.336;0.525
S DOMINGOS;2018;3;45730;0.345;0.487
S DOMINGOS;2018;4;48123;0.349;0.452
S DOMINGOS;2019;1;54160;0.264;0.417
S DOMINGOS;2019;2;45093;0.35;0.537
S DOMINGOS;2019;3;50103;0.333;0.508
S DOMINGOS;2019;4;54469;0.338;0.488
S DOMINGOS;2020;1;64875;0.269;0.385
S DOMINGOS;2020;2;47546;0.354;0.547
S DOMINGOS;2020;3;59064;0.341;0.477
S DOMINGOS;2020;4;63326;0.337;0.456
S DOMINGOS;2021;1;74270;0.304;0.371
S DOMINGOS;2021;2;74682;0.322;0.403
S DOMINGOS;2021;3;73005;0.37;0.431
S DOMINGOS;2021;4;77566;0.376;0.43
S LUCAS;2018;1;10181;0.325;0.185
S LUCAS;2018;2;10346;0.305;0.245
S LUCAS;2018;3;9788;0.331;0.256
S LUCAS;2018;4;10996;0.311;0.203
S LUCAS;2019;1;9913;0.273;0.224
S LUCAS;2019;2;7029;0.3;0.318
S LUCAS;2019;3;8969;0.32;0.249
S LUCAS;2019;4;9634;0.336;0.289
S LUCAS;2020;1;9702;0.237;0.216
S LUCAS;2020;2;6630;0.309;0.322
S LUCAS;2020;3;8745;0.288;0.242
S LUCAS;2020;4;9395;0.314;0.279
S LUCAS;2021;1;10868;0.259;0.173
S LUCAS;2021;2;10099;0.292;0.226
S LUCAS;2021;3;10516;0.325;0.253
S LUCAS;2021;4;10260;0.343;0.262
S LUIS;2018;1;27427;0.285;0.396
S LUIS;2018;2;26358;0.312;0.446
S LUIS;2018;3;24793;0.317;0.485
S LUIS;2018;4;26116;0.295;0.463
S LUIS;2019;1;26554;0.278;0.409
S LUIS;2019;2;24074;0.33;0.461
S LUIS;2019;3;26129;0.328;0.474
S LUIS;2019;4;26885;0.352;0.506
S LUIS;2020;1;24484;0.273;0.407
S LUIS;2020;2;21954;0.333;0.465
S LUIS;2020;3;23941;0.327;0.473
S LUIS;2020;4;24947;0.346;0.513
S LUIS;2021;1;25751;0.302;0.368
S LUIS;2021;2;25534;0.336;0.416
S LUIS;2021;3;24334;0.36;0.497
S LUIS;2021;4;26236;0.363;0.452
S MATEUS;2018;1;16283;0.285;0.246
S MATEUS;2018;2;15308;0.291;0.3
S MATEUS;2018;3;15577;0.333;0.375
S MATEUS;2018;4;17111;0.319;0.313
S MATEUS;2019;1;17419;0.257;0.295
S MATEUS;2019;2;13575;0.301;0.378
S MATEUS;2019;3;16641;0.299;0.313
S MATEUS;2019;4;17221;0.317;0.334
S MATEUS;2020;1;15712;0.235;0.292
S MATEUS;2020;2;12338;0.286;0.367
S MATEUS;2020;3;14705;0.284;0.317
S MATEUS;2020;4;15272;0.29;0.338
S MATEUS;2021;1;15489;0.272;0.21
S MATEUS;2021;2;15519;0.295;0.271
S MATEUS;2021;3;16585;0.325;0.318
S MATEUS;2021;4;15956;0.354;0.356
S MIGUEL;2018;1;7031;0.321;0.257
S MIGUEL;2018;2;6455;0.338;0.303
