Distritos SP;Ano;trimestre;total_de_profissionais;avg_teleworkable_score;weighted_avg_teleworkable_score
ARICANDUVA;2020;1;16094;0.286;0.191
ARICANDUVA;2020;2;11017;0.315;0.286
ARICANDUVA;2020;3;14757;0.328;0.216
ARICANDUVA;2020;4;15608;0.354;0.258
ARICANDUVA;2021;1;17920;0.276;0.172
ARICANDUVA;2021;2;16643;0.307;0.244
ARICANDUVA;2021;3;17502;0.318;0.246
ARICANDUVA;2021;4;17199;0.349;0.247
AT PINHEIRO;2018;1;8530;0.38;0.397
AT PINHEIRO;2018;2;8919;0.412;0.444
AT PINHEIRO;2018;3;7893;0.387;0.445
AT PINHEIRO;2018;4;9529;0.377;0.396
AT PINHEIRO;2019;1;8116;0.342;0.431
AT PINHEIRO;2019;2;8220;0.384;0.414
AT PINHEIRO;2019;3;7939;0.399;0.426
AT PINHEIRO;2019;4;8644;0.383;0.483
AT PINHEIRO;2020;1;7305;0.344;0.408
AT PINHEIRO;2020;2;7362;0.385;0.392
AT PINHEIRO;2020;3;7009;0.405;0.41
AT PINHEIRO;2020;4;7834;0.409;0.467
AT PINHEIRO;2021;1;8315;0.333;0.444
AT PINHEIRO;2021;2;8942;0.353;0.46
AT PINHEIRO;2021;3;8043;0.368;0.498
AT PINHEIRO;2021;4;8298;0.383;0.502
B FUNDA;2018;1;34629;0.346;0.412
B FUNDA;2018;2;36932;0.371;0.497
B FUNDA;2018;3;33821;0.347;0.45
B FUNDA;2018;4;37665;0.362;0.406
B FUNDA;2019;1;44142;0.299;0.419
B FUNDA;2019;2;38862;0.353;0.499
B FUNDA;2019;3;42432;0.336;0.428
B FUNDA;2019;4;45310;0.363;0.461
B FUNDA;2020;1;52872;0.286;0.381
B FUNDA;2020;2;45933;0.336;0.466
B FUNDA;2020;3;50152;0.321;0.384
B FUNDA;2020;4;52765;0.354;0.401
B FUNDA;2021;1;46909;0.366;0.377
B FUNDA;2021;2;50850;0.394;0.396
B FUNDA;2021;3;45721;0.421;0.477
B FUNDA;2021;4;49485;0.416;0.462
B RETIRO;2018;1;37978;0.315;0.345
B RETIRO;2018;2;38204;0.355;0.441
B RETIRO;2018;3;36309;0.33;0.398
B RETIRO;2018;4;41982;0.33;0.361
B RETIRO;2019;1;37283;0.295;0.384
B RETIRO;2019;2;33219;0.354;0.436
B RETIRO;2019;3;35511;0.328;0.368
B RETIRO;2019;4;38978;0.348;0.425
B RETIRO;2020;1;33969;0.32;0.388
B RETIRO;2020;2;30176;0.361;0.438
B RETIRO;2020;3;32352;0.355;0.372
B RETIRO;2020;4;35723;0.373;0.433
B RETIRO;2021;1;32176;0.377;0.405
B RETIRO;2021;2;33056;0.394;0.452
B RETIRO;2021;3;34377;0.419;0.473
B RETIRO;2021;4;34280;0.422;0.473
B VISTA;2018;1;102800;0.407;0.33
B VISTA;2018;2;116864;0.402;0.352
B VISTA;2018;3;92587;0.407;0.365
B VISTA;2018;4;109174;0.406;0.326
