year,month,id CBO 2002,Salario medio,CBO Ocupação 2002,CBO Ocupação 2002,total
2018,1,123605,31451.07,Diretor de Servicos de Informatica,123605,915
2018,1,123705,33557.12,Diretor de Pesquisa e Desenvolvimento (P&D),123705,333
2018,1,123805,27008.3,Diretor de Manutencao,123805,148
2018,1,131105,20275.48,Diretor de Servicos Culturais,131105,216
2018,1,131110,5471.24,Diretor de Servicos Sociais,131110,294
2018,1,131115,8217.28,Gerente de Servicos Culturais,131115,1663
2018,1,131120,6998.76,Gerente de Servicos Sociais,131120,1117
2018,1,131205,9680.91,Diretor de Servicos de Saude,131205,2231
2018,1,131210,13318.78,Gerente de Servicos de Saude,131210,2149
2018,1,131215,7049.18,Tecnólogo em Gestão Hospitalar,131215,17
2018,1,131305,9936.11,Diretor de Instituicao Educacional da Area Privada,131305,3920
2018,1,131310,7681.85,Diretor de Instituicao Educacional Publica,131310,4780
2018,1,131315,11857.97,Gerente de Instituicao Educacional da Area Privada,131315,324
2018,1,131320,7892.9,Gerente de Servicos Educacionais da Area Publica,131320,182
2018,1,141105,8478.08,Gerente de Producao e Operacoes  Aquicolas,141105,29
2018,1,141110,9427.85,Gerente de Producao e Operacoes  Florestais,141110,76
2018,1,141115,12143.68,Gerente de Producao e Operacoes Agropecuarias,141115,55
2018,1,141120,3427,Gerente de Producao e Operacoes Pesqueiras,141120,8
2018,1,141205,10369.12,Gerente de Producao e Operacoes,141205,4995
2018,1,141305,11963.23,Gerente de Producao e Operacoes da Construcao Civil e Obras Publicas,141305,1822
2018,1,141405,2377.51,Comerciante Atacadista,141405,1209
2018,1,141410,2845.47,Comerciante Varejista,141410,6167
2018,1,141415,4138.02,Gerente de Loja e Supermercado,141415,18476
2018,1,141420,9901.77,Gerente de Operacoes de Servicos de Assistencia Tecnica,141420,1011
2018,1,141505,7300.68,Gerente de Hotel,141505,680
2018,1,141510,3292.06,Gerente de Restaurante,141510,10015
2018,1,141515,2769.27,Gerente de Bar,141515,3033
2018,1,141520,4242.59,Gerente de Pensao,141520,59
2018,1,141525,8164.16,Gerente de Turismo,141525,217
2018,1,141605,8356.8,Gerente de Operacoes de Transportes,141605,1517
2018,1,141610,11000.87,Gerente de Operacoes de Correios e Telecomunicacoes,141610,416
2018,1,141615,8958.33,Gerente de Logistica (Armazenagem e Distribuicao),141615,3659
2018,1,141705,18981.46,Gerente de Produtos Bancarios,141705,2865
2018,1,141710,13570.19,Gerente de Agencia,141710,2582
2018,1,141715,13506.53,Gerente de Cambio e Comercio Exterior,141715,384
2018,1,141720,14399.25,Gerente de Credito e Cobranca,141720,907
2018,1,141725,11350.38,Gerente de Credito Imobiliario,141725,138
2018,1,141730,21012.44,Gerente de Credito Rural,141730,12
2018,1,141735,10494.49,Gerente de Recuperacao de Credito,141735,373
2018,1,142105,10736.91,Gerente Administrativo,142105,43073
2018,1,142110,15358.07,Gerente de Riscos,142110,2725
2018,1,142115,13835.16,Gerente Financeiro,142115,8102
2018,1,142120,6388.56,Tecnólogo em Gestão Administrativo- Financeira,142120,436
2018,1,142205,13132.93,Gerente de Recursos Humanos,142205,6069
2018,1,142210,6805.84,Gerente de Departamento Pessoal,142210,2473
2018,1,142305,10671.32,Gerente Comercial,142305,21781
2018,1,142310,13230.74,Gerente de Comunicacao,142310,2833
2018,1,142315,15073.99,Gerente de Marketing,142315,10023
2018,1,142320,14784.05,Gerente de Vendas,142320,23041
2018,1,142325,6643.52,Relacoes Publicas (A),142325,1772
2018,1,142330,7704.12,Analista de Negocios (A),142330,16201
2018,1,142335,5903.15,Analista de Pesquisa de Mercado (A),142335,13483
2018,1,142340,6505.58,Ouvidor,142340,429
2018,1,142405,12000.12,Gerente de Compras,142405,3181
2018,1,142410,13880.95,Gerente de Suprimentos,142410,936
2018,1,142415,6037.59,Gerente de Almoxarifado,142415,257
2018,1,142505,14725,Gerente de Rede,142505,1334
2018,1,142510,16748.87,Gerente de Desenvolvimento de Sistemas,142510,3454
2018,1,142515,15748.77,Gerente de Producao de Tecnologia da Informacao,142515,1857
2018,1,142520,13794.13,Gerente de Projetos de Tecnologia da Informacao,142520,4417
2018,1,142525,16152.75,Gerente de Seguranca de Tecnologia da Informacao,142525,324
2018,1,142530,14099.76,Gerente de Suporte Tecnico de Tecnologia da Informacao,142530,1650
2018,1,142535,7605.8,Tecnólogo em Gestão da Tecnologia da Informação,142535,522
2018,1,142605,16422.26,Gerente de Pesquisa e Desenvolvimento (P&D),142605,4342
2018,1,142610,8091.86,Especialista em Desenvolvimento de Cigarros,142610,3
2018,1,142705,9902.87,Gerente de Projetos e Servicos de Manutencao,142705,3741
2018,1,142710,6445.33,Tecnólogo em Sistemas Biomédicos,142710,121
2018,1,201105,9471.7,Bioengenheiro,201105,13
2018,1,201110,4483.11,Biotecnologista,201110,271
2018,1,201115,6047.32,Geneticista,201115,11
2018,1,201205,3484.99,Pesquisador em Metrologia,201205,9
2018,1,201210,4945.49,Especialista em Calibracoes Metrologicas,201210,62
2018,1,201215,5537.7,Especialista em Ensaios Metrologicos,201215,32
2018,1,201220,6976.92,Especialista em Instrumentacao Metrologica,201220,10
2018,1,201225,7086.47,Especialista em Materiais de Referencia Metrologica,201225,20
2018,1,202105,9187.84,Engenheiro Mecatronico,202105,73
2018,1,202110,10796.5,Engenheiro de Controle  e Automacao,202110,172
2018,1,202115,5126.72,Tecnologo em Mecatronica,202115,26
2018,1,203005,7677.54,Pesquisador em Biologia Ambiental,203005,41
2018,1,203010,9597.3,Pesquisador em Biologia Animal,203010,2
