date,year,quarter,price_real_month,area_m2,bedrooms,suite,bathrooms,garage,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
11/06/2021,2021,4,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.222
13/11/2021,2021,4,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.222
14/11/2021,2021,4,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.222
21/11/2021,2021,4,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.222
29/11/2021,2021,4,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.222
13/12/2021,2021,4,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.222
20/12/2021,2021,4,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.222
27/12/2021,2021,4,3300000,149,3,3,4,2,22147.65101,,0.300544417,1,0,1,0,1,2.1980807,65.28125,4,0.222
22/09/2018,2018,3,3709999,168,2,2,4,3,22083.32738,3360,0.918245003,,,,,,1.5700836,71.0625,4,0.179
25/04/2018,2018,2,990499,45,1,0,1,1,22011.08889,,2.193322958,,,,,,0.2467253,61.78125,15,0.427
16/05/2018,2018,2,2660000,121,2,0,1,1,21983.47107,0,0.837401372,,,,,,3.2769922,71.0625,4,0.225
02/02/2019,2019,1,1008548,46,1,1,1,1,21924.95652,0,0.208132147,,,,,,3.5959428,65.76666667,6,0.201
04/12/2019,2019,2,5100000,236,2,2,4,4,21610.16949,5000,2.805112863,0,0,0,0,0,2.1028185,49.40625,41,0.098
19/02/2019,2019,1,1533000,71,3,2,2,4,21591.5493,1018,0.873064549,,,,,,4.3058496,65.8125,5,0.327
28/08/2021,2021,3,1749000,82,2,2,2,1,21329.26829,1020,1.187725498,1,0,1,0,1,1.3106594,67.9375,1,0.426
04/10/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
04/11/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
17/04/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
23/04/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
24/04/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
05/01/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
05/03/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
05/10/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
17/05/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
30/05/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
06/06/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
14/06/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
16/06/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
23/06/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
30/06/2021,2021,2,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.222
07/01/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
07/08/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
15/07/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
16/07/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
23/07/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
30/07/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
31/07/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
08/07/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
14/08/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
21/08/2021,2021,3,2500000,118,2,2,3,2,21186.44068,1150000,0.57616424,1,0,1,1,1,3.9474984,59.7,11,0.37
