date,year,quarter,price_real_month,area_m2,bedrooms,suite,bathrooms,garage,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
17/05/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
30/05/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
06/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
14/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
16/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
23/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
30/06/2021,2021,2,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.334
01/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
08/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
15/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
16/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
23/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
30/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
31/07/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
07/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
14/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
21/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
28/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
29/08/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
05/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
12/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
19/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
20/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
27/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
28/09/2021,2021,3,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.426
06/10/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
13/10/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
20/10/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
03/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
05/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
06/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
13/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
14/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
21/11/2021,2021,4,2350000,120,3,1,2,1,19583.33333,1750,2.211707045,0,0,1,1,0,1.0983827,67.9375,1,0.292
