quarter,year,date,area_m2,bedrooms,suite,bathrooms,garage,price_real_month,price_m2,condo_real,metro_dist_km,gym,field_quadra,elevator,furnished,swimming_pool,delta_cbd_farialima,inequality_meter,inequality_rank,teleworkable
1,2018,10/01/2018,53,1,1,1,1,336000,6339.62,308,2.031419454,,,,,,12.0831335,52.15625,31,0.042
1,2018,19/01/2018,53,2,1,2,1,385000,7264.15,175,0.653762788,,,,,,5.9078746,71.21875,3,0.095
1,2018,19/01/2018,53,2,1,2,1,409500,7726.42,175,0.653762788,,,,,,5.9078746,71.21875,3,0.095
1,2018,23/01/2018,54,2,0,1,1,322000,5962.96,385,4.529990386,,,,,,8.3410476,51.5,33,0.071
1,2018,24/01/2018,54,1,1,2,1,385000,7129.63,308,1.967823552,,,,,,11.9701378,54.6875,26,0.049
1,2018,11/01/2018,55,2,1,2,1,543200,9876.36,336,0.596435511,,,,,,2.437682,68.96875,7,0.135
1,2018,03/01/2018,55,1,0,1,2,413000,7509.09,350,2.101533967,,,,,,12.6174564,52.15625,31,0.042
1,2018,23/01/2018,55,2,0,2,1,350000,6363.64,475,1.307828867,,,,,,5.2849576,63.9375,12,0.073
1,2018,13/01/2018,55,2,1,1,1,289730,5267.82,226,0.127222226,,,,,,9.9096259,42.25,66,0.047
1,2018,23/01/2018,55,2,1,2,1,406000,7381.82,350,0.949527361,,,,,,10.3423809,42.25,66,0.047
1,2018,05/01/2018,56,2,1,1,1,312900,5587.5,399,1.946042341,,,,,,12.5488582,54.6875,26,0.049
1,2018,10/01/2018,56,2,1,2,1,448000,8000,630,0.682897988,,,,,,4.3602304,68.96875,7,0.135
1,2018,31/01/2018,56,2,0,1,1,336000,6000,359,4.321072902,,,,,,8.3859956,47.3125,49,0.067
1,2018,20/01/2018,56,2,0,1,1,297871,5319.13,546,1.593198006,,,,,,12.4853999,54.6875,26,0.049
1,2018,05/01/2018,57,2,0,1,1,294000,5157.89,322,0.418862453,,,,,,14.6180453,54.40625,28,0.054
1,2018,26/01/2018,57,2,2,2,2,301000,5280.7,503,2.251958278,,,,,,5.7608121,37.625,78,0.054
1,2018,29/01/2018,58,2,1,2,1,488599,8424.12,350,0.286333295,,,,,,2.8459748,61.78125,15,0.174
1,2018,13/01/2018,58,2,1,2,1,320600,5527.59,290,2.723705973,,,,,,12.4567148,50.4375,36,0.063
1,2018,12/01/2018,58,3,0,1,1,302400,5213.79,478,0.400546659,,,,,,13.2931382,62.71875,14,0.069
1,2018,23/01/2018,58,2,1,2,2,301000,5189.66,0,0.598302344,,,,,,13.8429677,54.40625,28,0.054
1,2018,16/01/2018,58,3,,1,1,301000,5189.66,373,4.617511241,,,,,,9.7373624,47.34375,48,0.097
1,2018,25/01/2018,58,2,0,2,1,560000,9655.17,683,0.899030395,,,,,,1.6034798,71.0625,4,0.087
1,2018,13/01/2018,59,2,1,2,1,301448,5109.29,210,2.019446511,,,,,,6.7169691,41.53125,68,0.054
1,2018,31/01/2018,59,2,1,2,1,304500,5161.02,,1.603691349,,,,,,9.8739235,63.03125,13,0.047
1,2018,31/01/2018,59,2,1,2,1,305200,5172.88,,1.603691349,,,,,,9.8739235,63.03125,13,0.047
1,2018,30/01/2018,59,2,0,2,1,318500,5398.31,315,1.748052639,,,,,,16.2907119,54.40625,28,0.054
1,2018,30/01/2018,59,2,1,2,1,322000,5457.63,350,1.748052639,,,,,,16.2907119,54.40625,28,0.054
