date;area_m2;bedrooms;suite;bathrooms;garage;price_real_month;price_m2;condo_real;metro_dist_km;gym;field_quadra;elevator;furnished;swimming_pool;delta_cbd_farialima;inequality_meter;inequality_rank;teleworkable
01/05/2021;36;1;0;1;1;1200;33.33333333;0;0.508338427;0;0;0;0;0;3.789444756;59.7;11;0.222
02/06/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.183
04/06/2020;36;1;1;1;1;1200;33.33333333;0;0.508338427;1;0;1;1;1;3.789444756;56.03125;21;0.206
02/07/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.257
02/07/2020;36;1;1;1;1;1200;33.33333333;0;0.508338427;1;0;1;1;1;3.789444756;56.03125;21;0.269
07/08/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.257
04/09/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.257
11/10/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.271
01/11/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.271
02/12/2019;36;1;1;1;1;1200;33.33333333;1600;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.271
10/12/2020;36;1;1;1;1;1200;33.33333333;0;0.508338427;1;0;1;1;1;3.789444756;56.03125;21;0.28
14/09/2018;35;1;0;1;1;1190;34;588;0.508338427;;;;;;3.789444756;75.40625;2;0.112
23/11/2018;35;1;0;1;1;1190;34;588;0.508338427;;;;;;3.789444756;75.40625;2;0.173
07/01/2019;34;1;0;1;1;1169;34.38235294;714;0.508338427;;;;;;3.789444756;65.76666667;6;0.201
07/01/2019;34;1;0;1;1;1172;34.47058824;710;0.508338427;;;;;;3.789444756;65.76666667;6;0.201
07/02/2018;45;1;0;1;1;1610;35.77777778;472;0.508338427;;;;;;3.789444756;75.40625;2;0.093
11/12/2018;34;1;0;1;1;1277;37.55882353;535;0.508338427;;;;;;3.789444756;75.40625;2;0.173
01/01/2021;35;1;0;1;1;1400;40;0;0.508338427;0;0;0;0;0;3.789444756;59.7;11;0.233
11/07/2018;35;1;0;1;1;1400;40;644;0.508338427;;;;;;3.789444756;75.40625;2;0.112
11/12/2018;34;1;0;1;1;1400;41.17647059;644;0.508338427;;;;;;3.789444756;75.40625;2;0.173
24/01/2019;33;1;0;1;1;1400;42.42424242;700;0.508338427;;;;;;3.789444756;65.76666667;6;0.201
12/02/2020;35;1;0;1;1;1500;42.85714286;0;0.508338427;0;0;0;0;0;3.789444756;56.03125;21;0.22
13/06/2018;32;1;0;1;1;1387;43.34375;371;0.508338427;;;;;;3.789444756;75.40625;2;0.266
12/02/2020;38;1;0;1;1;1690;44.47368421;0;0.508338427;0;0;0;0;0;3.789444756;56.03125;21;0.22
07/02/2019;35;1;1;1;1;1659;47.4;1041;0.508338427;0;0;0;0;0;3.789444756;65.76666667;6;0.201
14/02/2019;35;1;1;1;1;1813;51.8;588;0.508338427;;;;;;3.789444756;65.76666667;6;0.201
15/01/2020;30;1;0;1;1;1600;53.33333333;0;0.508338427;0;0;0;0;0;3.789444756;56.03125;21;0.22
25/02/2019;38;1;0;1;1;2100;55.26315789;0;0.508338427;;;;;;3.789444756;65.76666667;6;0.201
11/03/2020;35;1;1;1;1;2000;57.14285714;1000;0.508338427;1;0;1;1;1;3.789444756;56.03125;21;0.22
01/04/2020;35;1;0;1;1;2000;57.14285714;0;0.508338427;0;0;0;0;0;3.789444756;56.03125;21;0.206
14/02/2019;30;1;0;1;1;1839;61.3;351;0.508338427;;;;;;3.789444756;65.76666667;6;0.201
12/12/2018;40;1;1;1;1;1260;31.5;770;0.476193108;;;;;;3.786192708;75.40625;2;0.173
22/10/2018;40;1;1;1;1;1330;33.25;630;0.476193108;;;;;;3.786192708;75.40625;2;0.173
08/01/2019;35;1;1;1;1;1260;36;770;0.476193108;;;;;;3.786192708;65.76666667;6;0.201
25/07/2018;35;1;0;1;1;1284;36.68571429;770;0.476193108;;;;;;3.786192708;75.40625;2;0.112
24/10/2018;40;1;1;1;1;1470;36.75;630;0.476193108;;;;;;3.786192708;75.40625;2;0.173
21/06/2018;35;1;0;1;1;1295;37;770;0.476193108;;;;;;3.786192708;75.40625;2;0.266
21/06/2018;35;1;0;1;1;1386;39.6;770;0.476193108;;;;;;3.786192708;75.40625;2;0.266
21/06/2018;35;1;0;1;1;1470;42;770;0.476193108;;;;;;3.786192708;75.40625;2;0.266
14/01/2019;35;1;1;1;1;1540;44;770;0.476193108;;;;;;3.786192708;65.76666667;6;0.201
25/02/2019;98;1;1;1;2;3849;39.2755102;770;0.537593437;;;;;;3.752186501;65.76666667;6;0.201
09/10/2018;96;2;1;2;0;6927;72.15625;1038;0.537593437;;;;;;3.752186501;75.40625;2;0.173
30/03/2021;93;2;0;3;2;8000;86.02150538;0;0.537593437;0;0;0;0;0;3.752186501;59.7;11;0.233
10/04/2021;93;2;0;3;2;8000;86.02150538;0;0.537593437;0;0;0;0;0;3.752186501;59.7;11;0.222
10/05/2021;93;2;0;3;2;8000;86.02150538;0;0.537593437;0;0;0;0;0;3.752186501;59.7;11;0.222
12/01/2018;150;1;0;1;2;3150;21;2192;0.519678579;;;;;;3.72951456;75.40625;2;0.093
25/02/2019;150;2;1;2;2;3150;21;2216;0.519678579;;;;;;3.72951456;65.76666667;6;0.201
25/01/2019;116;1;1;1;2;2657;22.90517241;1754;0.519678579;;;;;;3.72951456;65.76666667;6;0.201
04/10/2018;116;1;1;1;2;2657;22.90517241;1754;0.519678579;;;;;;3.72951456;75.40625;2;0.173
18/12/2018;150;3;1;3;2;3709;24.72666667;1050;0.519678579;;;;;;3.72951456;75.40625;2;0.173
14/02/2019;116;1;1;1;2;2951;25.43965517;1957;0.519678579;;;;;;3.72951456;65.76666667;6;0.201
02/10/2018;116;1;1;1;2;2951;25.43965517;1957;0.519678579;;;;;;3.72951456;75.40625;2;0.173
02/02/2019;65;1;1;1;2;3639;55.98461538;0;0.519678579;;;;;;3.72951456;65.76666667;6;0.201
